NTL,lats,lons,geometry
10,31.841194029850747,121.26254180602007,POINT (121.26254180602007 31.841194029850747)
24,31.841194029850747,121.26672240802675,POINT (121.26672240802675 31.841194029850747)
25,31.841194029850747,121.27090301003345,POINT (121.27090301003345 31.841194029850747)
25,31.841194029850747,121.27508361204013,POINT (121.27508361204013 31.841194029850747)
23,31.841194029850747,121.27926421404682,POINT (121.27926421404682 31.841194029850747)
13,31.841194029850747,121.28344481605352,POINT (121.28344481605352 31.841194029850747)
11,31.841194029850747,121.2876254180602,POINT (121.2876254180602 31.841194029850747)
12,31.841194029850747,121.29180602006689,POINT (121.29180602006689 31.841194029850747)
11,31.841194029850747,121.29598662207358,POINT (121.29598662207358 31.841194029850747)
8,31.841194029850747,121.30016722408027,POINT (121.30016722408027 31.841194029850747)
8,31.841194029850747,121.30434782608695,POINT (121.30434782608695 31.841194029850747)
8,31.841194029850747,121.30852842809365,POINT (121.30852842809365 31.841194029850747)
6,31.841194029850747,121.31270903010034,POINT (121.31270903010034 31.841194029850747)
5,31.841194029850747,121.31688963210702,POINT (121.31688963210702 31.841194029850747)
5,31.841194029850747,121.32107023411372,POINT (121.32107023411372 31.841194029850747)
7,31.841194029850747,121.3252508361204,POINT (121.3252508361204 31.841194029850747)
7,31.841194029850747,121.32943143812709,POINT (121.32943143812709 31.841194029850747)
5,31.841194029850747,121.33361204013377,POINT (121.33361204013377 31.841194029850747)
4,31.841194029850747,121.33779264214047,POINT (121.33779264214047 31.841194029850747)
5,31.841194029850747,121.34197324414716,POINT (121.34197324414716 31.841194029850747)
5,31.841194029850747,121.34615384615384,POINT (121.34615384615384 31.841194029850747)
5,31.841194029850747,121.35033444816054,POINT (121.35033444816054 31.841194029850747)
5,31.841194029850747,121.35451505016722,POINT (121.35451505016722 31.841194029850747)
4,31.841194029850747,121.3586956521739,POINT (121.3586956521739 31.841194029850747)
4,31.841194029850747,121.3628762541806,POINT (121.3628762541806 31.841194029850747)
5,31.841194029850747,121.36705685618729,POINT (121.36705685618729 31.841194029850747)
6,31.841194029850747,121.37123745819397,POINT (121.37123745819397 31.841194029850747)
8,31.837014925373133,121.20819397993311,POINT (121.20819397993311 31.837014925373133)
10,31.837014925373133,121.2123745819398,POINT (121.2123745819398 31.837014925373133)
10,31.837014925373133,121.21655518394648,POINT (121.21655518394648 31.837014925373133)
8,31.837014925373133,121.22073578595318,POINT (121.22073578595318 31.837014925373133)
8,31.837014925373133,121.22491638795987,POINT (121.22491638795987 31.837014925373133)
10,31.837014925373133,121.22909698996655,POINT (121.22909698996655 31.837014925373133)
10,31.837014925373133,121.23327759197325,POINT (121.23327759197325 31.837014925373133)
8,31.837014925373133,121.23745819397993,POINT (121.23745819397993 31.837014925373133)
7,31.837014925373133,121.24163879598662,POINT (121.24163879598662 31.837014925373133)
7,31.837014925373133,121.24581939799332,POINT (121.24581939799332 31.837014925373133)
7,31.837014925373133,121.25,POINT (121.25 31.837014925373133)
7,31.837014925373133,121.25418060200668,POINT (121.25418060200668 31.837014925373133)
7,31.837014925373133,121.25836120401338,POINT (121.25836120401338 31.837014925373133)
8,31.837014925373133,121.26254180602007,POINT (121.26254180602007 31.837014925373133)
9,31.837014925373133,121.26672240802675,POINT (121.26672240802675 31.837014925373133)
9,31.837014925373133,121.27090301003345,POINT (121.27090301003345 31.837014925373133)
6,31.837014925373133,121.27508361204013,POINT (121.27508361204013 31.837014925373133)
8,31.837014925373133,121.27926421404682,POINT (121.27926421404682 31.837014925373133)
9,31.837014925373133,121.28344481605352,POINT (121.28344481605352 31.837014925373133)
10,31.837014925373133,121.2876254180602,POINT (121.2876254180602 31.837014925373133)
12,31.837014925373133,121.29180602006689,POINT (121.29180602006689 31.837014925373133)
10,31.837014925373133,121.29598662207358,POINT (121.29598662207358 31.837014925373133)
9,31.837014925373133,121.30016722408027,POINT (121.30016722408027 31.837014925373133)
9,31.837014925373133,121.30434782608695,POINT (121.30434782608695 31.837014925373133)
10,31.837014925373133,121.30852842809365,POINT (121.30852842809365 31.837014925373133)
11,31.837014925373133,121.31270903010034,POINT (121.31270903010034 31.837014925373133)
